case_id,scheme,variant,clients,dimension,noise,seed,repetition,rtt_ms,bandwidth_mbps,matrix_group,status,end_to_end_ms,client_to_paths_bytes,paths_to_cs_bytes,total_application_protocol_bytes,encoded_plaintext_mismatch_count,result_dir
net_aggregate_only_c30_d784_rtt1_bw100_r001,aggregate_only,four_path_sum_only,30,784,dgg32,2024,1,1,100,rtt_sensitivity,PASS,2882.16,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt1_bw100_r001
net_aggregate_only_c30_d784_rtt1_bw100_r002,aggregate_only,four_path_sum_only,30,784,dgg32,2024,2,1,100,rtt_sensitivity,PASS,2869,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt1_bw100_r002
net_aggregate_only_c30_d784_rtt1_bw100_r003,aggregate_only,four_path_sum_only,30,784,dgg32,2024,3,1,100,rtt_sensitivity,PASS,2866.71,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt1_bw100_r003
net_aggregate_only_c30_d784_rtt1_bw100_r004,aggregate_only,four_path_sum_only,30,784,dgg32,2024,4,1,100,rtt_sensitivity,PASS,2868.55,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt1_bw100_r004
net_aggregate_only_c30_d784_rtt1_bw100_r005,aggregate_only,four_path_sum_only,30,784,dgg32,2024,5,1,100,rtt_sensitivity,PASS,2793.06,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt1_bw100_r005
net_full_c30_d784_rtt1_bw100_r001,full,full_protocol,30,784,dgg32,2024,1,1,100,rtt_sensitivity,PASS,9342.07,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt1_bw100_r001
net_full_c30_d784_rtt1_bw100_r002,full,full_protocol,30,784,dgg32,2024,2,1,100,rtt_sensitivity,PASS,9275.56,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt1_bw100_r002
net_full_c30_d784_rtt1_bw100_r003,full,full_protocol,30,784,dgg32,2024,3,1,100,rtt_sensitivity,PASS,9304.62,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt1_bw100_r003
net_full_c30_d784_rtt1_bw100_r004,full,full_protocol,30,784,dgg32,2024,4,1,100,rtt_sensitivity,PASS,9314.83,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt1_bw100_r004
net_full_c30_d784_rtt1_bw100_r005,full,full_protocol,30,784,dgg32,2024,5,1,100,rtt_sensitivity,PASS,9341.11,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt1_bw100_r005
net_aggregate_only_c30_d784_rtt20_bw100_r001,aggregate_only,four_path_sum_only,30,784,dgg32,2024,1,20,100,rtt_sensitivity,PASS,3329.05,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt20_bw100_r001
net_aggregate_only_c30_d784_rtt20_bw100_r002,aggregate_only,four_path_sum_only,30,784,dgg32,2024,2,20,100,rtt_sensitivity,PASS,3410.49,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt20_bw100_r002
net_aggregate_only_c30_d784_rtt20_bw100_r003,aggregate_only,four_path_sum_only,30,784,dgg32,2024,3,20,100,rtt_sensitivity,PASS,3447.52,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt20_bw100_r003
net_aggregate_only_c30_d784_rtt20_bw100_r004,aggregate_only,four_path_sum_only,30,784,dgg32,2024,4,20,100,rtt_sensitivity,PASS,3369.03,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt20_bw100_r004
net_aggregate_only_c30_d784_rtt20_bw100_r005,aggregate_only,four_path_sum_only,30,784,dgg32,2024,5,20,100,rtt_sensitivity,PASS,3476.22,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt20_bw100_r005
net_full_c30_d784_rtt20_bw100_r001,full,full_protocol,30,784,dgg32,2024,1,20,100,rtt_sensitivity,PASS,10272.1,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt20_bw100_r001
net_full_c30_d784_rtt20_bw100_r002,full,full_protocol,30,784,dgg32,2024,2,20,100,rtt_sensitivity,PASS,10138.3,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt20_bw100_r002
net_full_c30_d784_rtt20_bw100_r003,full,full_protocol,30,784,dgg32,2024,3,20,100,rtt_sensitivity,PASS,10260.8,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt20_bw100_r003
net_full_c30_d784_rtt20_bw100_r004,full,full_protocol,30,784,dgg32,2024,4,20,100,rtt_sensitivity,PASS,10236.4,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt20_bw100_r004
net_full_c30_d784_rtt20_bw100_r005,full,full_protocol,30,784,dgg32,2024,5,20,100,rtt_sensitivity,PASS,10226.7,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt20_bw100_r005
net_aggregate_only_c30_d784_rtt50_bw100_r001,aggregate_only,four_path_sum_only,30,784,dgg32,2024,1,50,100,center,PASS,5245.21,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw100_r001
net_aggregate_only_c30_d784_rtt50_bw100_r002,aggregate_only,four_path_sum_only,30,784,dgg32,2024,2,50,100,center,PASS,5138.04,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw100_r002
net_aggregate_only_c30_d784_rtt50_bw100_r003,aggregate_only,four_path_sum_only,30,784,dgg32,2024,3,50,100,center,PASS,5225.92,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw100_r003
net_aggregate_only_c30_d784_rtt50_bw100_r004,aggregate_only,four_path_sum_only,30,784,dgg32,2024,4,50,100,center,PASS,5203.61,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw100_r004
net_aggregate_only_c30_d784_rtt50_bw100_r005,aggregate_only,four_path_sum_only,30,784,dgg32,2024,5,50,100,center,PASS,5240.21,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw100_r005
net_full_c30_d784_rtt50_bw100_r001,full,full_protocol,30,784,dgg32,2024,1,50,100,center,PASS,12673.1,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw100_r001
net_full_c30_d784_rtt50_bw100_r002,full,full_protocol,30,784,dgg32,2024,2,50,100,center,PASS,12699.1,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw100_r002
net_full_c30_d784_rtt50_bw100_r003,full,full_protocol,30,784,dgg32,2024,3,50,100,center,PASS,12773.5,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw100_r003
net_full_c30_d784_rtt50_bw100_r004,full,full_protocol,30,784,dgg32,2024,4,50,100,center,PASS,12616.3,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw100_r004
net_full_c30_d784_rtt50_bw100_r005,full,full_protocol,30,784,dgg32,2024,5,50,100,center,PASS,12630.5,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw100_r005
net_aggregate_only_c30_d784_rtt100_bw100_r001,aggregate_only,four_path_sum_only,30,784,dgg32,2024,1,100,100,rtt_sensitivity,PASS,8671.48,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt100_bw100_r001
net_aggregate_only_c30_d784_rtt100_bw100_r002,aggregate_only,four_path_sum_only,30,784,dgg32,2024,2,100,100,rtt_sensitivity,PASS,8556.99,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt100_bw100_r002
net_aggregate_only_c30_d784_rtt100_bw100_r003,aggregate_only,four_path_sum_only,30,784,dgg32,2024,3,100,100,rtt_sensitivity,PASS,8556.37,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt100_bw100_r003
net_aggregate_only_c30_d784_rtt100_bw100_r004,aggregate_only,four_path_sum_only,30,784,dgg32,2024,4,100,100,rtt_sensitivity,PASS,8584.64,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt100_bw100_r004
net_aggregate_only_c30_d784_rtt100_bw100_r005,aggregate_only,four_path_sum_only,30,784,dgg32,2024,5,100,100,rtt_sensitivity,PASS,8651.47,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt100_bw100_r005
net_full_c30_d784_rtt100_bw100_r001,full,full_protocol,30,784,dgg32,2024,1,100,100,rtt_sensitivity,PASS,16493.7,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt100_bw100_r001
net_full_c30_d784_rtt100_bw100_r002,full,full_protocol,30,784,dgg32,2024,2,100,100,rtt_sensitivity,PASS,16601.3,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt100_bw100_r002
net_full_c30_d784_rtt100_bw100_r003,full,full_protocol,30,784,dgg32,2024,3,100,100,rtt_sensitivity,PASS,16636,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt100_bw100_r003
net_full_c30_d784_rtt100_bw100_r004,full,full_protocol,30,784,dgg32,2024,4,100,100,rtt_sensitivity,PASS,16537.7,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt100_bw100_r004
net_full_c30_d784_rtt100_bw100_r005,full,full_protocol,30,784,dgg32,2024,5,100,100,rtt_sensitivity,PASS,16580,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt100_bw100_r005
net_aggregate_only_c30_d784_rtt50_bw20_r001,aggregate_only,four_path_sum_only,30,784,dgg32,2024,1,50,20,bandwidth_sensitivity,PASS,15800.4,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw20_r001
net_aggregate_only_c30_d784_rtt50_bw20_r002,aggregate_only,four_path_sum_only,30,784,dgg32,2024,2,50,20,bandwidth_sensitivity,PASS,15549.6,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw20_r002
net_aggregate_only_c30_d784_rtt50_bw20_r003,aggregate_only,four_path_sum_only,30,784,dgg32,2024,3,50,20,bandwidth_sensitivity,PASS,15345.9,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw20_r003
net_aggregate_only_c30_d784_rtt50_bw20_r004,aggregate_only,four_path_sum_only,30,784,dgg32,2024,4,50,20,bandwidth_sensitivity,PASS,15418.3,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw20_r004
net_aggregate_only_c30_d784_rtt50_bw20_r005,aggregate_only,four_path_sum_only,30,784,dgg32,2024,5,50,20,bandwidth_sensitivity,PASS,15386.3,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw20_r005
net_full_c30_d784_rtt50_bw20_r001,full,full_protocol,30,784,dgg32,2024,1,50,20,bandwidth_sensitivity,PASS,42495.1,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw20_r001
net_full_c30_d784_rtt50_bw20_r002,full,full_protocol,30,784,dgg32,2024,2,50,20,bandwidth_sensitivity,PASS,42874.1,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw20_r002
net_full_c30_d784_rtt50_bw20_r003,full,full_protocol,30,784,dgg32,2024,3,50,20,bandwidth_sensitivity,PASS,42831,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw20_r003
net_full_c30_d784_rtt50_bw20_r004,full,full_protocol,30,784,dgg32,2024,4,50,20,bandwidth_sensitivity,PASS,42424,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw20_r004
net_full_c30_d784_rtt50_bw20_r005,full,full_protocol,30,784,dgg32,2024,5,50,20,bandwidth_sensitivity,PASS,42825.9,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw20_r005
net_aggregate_only_c30_d784_rtt50_bw1000_r001,aggregate_only,four_path_sum_only,30,784,dgg32,2024,1,50,1000,bandwidth_sensitivity,PASS,3782.87,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw1000_r001
net_aggregate_only_c30_d784_rtt50_bw1000_r002,aggregate_only,four_path_sum_only,30,784,dgg32,2024,2,50,1000,bandwidth_sensitivity,PASS,3757.36,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw1000_r002
net_aggregate_only_c30_d784_rtt50_bw1000_r003,aggregate_only,four_path_sum_only,30,784,dgg32,2024,3,50,1000,bandwidth_sensitivity,PASS,3765.71,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw1000_r003
net_aggregate_only_c30_d784_rtt50_bw1000_r004,aggregate_only,four_path_sum_only,30,784,dgg32,2024,4,50,1000,bandwidth_sensitivity,PASS,3833.52,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw1000_r004
net_aggregate_only_c30_d784_rtt50_bw1000_r005,aggregate_only,four_path_sum_only,30,784,dgg32,2024,5,50,1000,bandwidth_sensitivity,PASS,3817.19,31464960,1048960,32513920,0,results/formal/network_deployment/raw/net_aggregate_only_c30_d784_rtt50_bw1000_r005
net_full_c30_d784_rtt50_bw1000_r001,full,full_protocol,30,784,dgg32,2024,1,50,1000,bandwidth_sensitivity,PASS,6658.94,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw1000_r001
net_full_c30_d784_rtt50_bw1000_r002,full,full_protocol,30,784,dgg32,2024,2,50,1000,bandwidth_sensitivity,PASS,6754.05,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw1000_r002
net_full_c30_d784_rtt50_bw1000_r003,full,full_protocol,30,784,dgg32,2024,3,50,1000,bandwidth_sensitivity,PASS,6693.51,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw1000_r003
net_full_c30_d784_rtt50_bw1000_r004,full,full_protocol,30,784,dgg32,2024,4,50,1000,bandwidth_sensitivity,PASS,6708.11,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw1000_r004
net_full_c30_d784_rtt50_bw1000_r005,full,full_protocol,30,784,dgg32,2024,5,50,1000,bandwidth_sensitivity,PASS,6755.09,31464960,65025760,96490720,0,results/formal/network_deployment/raw/net_full_c30_d784_rtt50_bw1000_r005
net_aggregate_only_c10_d784_rtt50_bw100_r001,aggregate_only,four_path_sum_only,10,784,dgg32,2024,1,50,100,client_scalability,PASS,2111.96,10488320,1048960,11537280,0,results/formal/network_deployment/raw/net_aggregate_only_c10_d784_rtt50_bw100_r001
net_aggregate_only_c10_d784_rtt50_bw100_r002,aggregate_only,four_path_sum_only,10,784,dgg32,2024,2,50,100,client_scalability,PASS,2100.61,10488320,1048960,11537280,0,results/formal/network_deployment/raw/net_aggregate_only_c10_d784_rtt50_bw100_r002
net_aggregate_only_c10_d784_rtt50_bw100_r003,aggregate_only,four_path_sum_only,10,784,dgg32,2024,3,50,100,client_scalability,PASS,2089.42,10488320,1048960,11537280,0,results/formal/network_deployment/raw/net_aggregate_only_c10_d784_rtt50_bw100_r003
net_aggregate_only_c10_d784_rtt50_bw100_r004,aggregate_only,four_path_sum_only,10,784,dgg32,2024,4,50,100,client_scalability,PASS,2081.4,10488320,1048960,11537280,0,results/formal/network_deployment/raw/net_aggregate_only_c10_d784_rtt50_bw100_r004
net_aggregate_only_c10_d784_rtt50_bw100_r005,aggregate_only,four_path_sum_only,10,784,dgg32,2024,5,50,100,client_scalability,PASS,2116.25,10488320,1048960,11537280,0,results/formal/network_deployment/raw/net_aggregate_only_c10_d784_rtt50_bw100_r005
net_full_c10_d784_rtt50_bw100_r001,full,full_protocol,10,784,dgg32,2024,1,50,100,client_scalability,PASS,4858.43,10488320,23073760,33562080,0,results/formal/network_deployment/raw/net_full_c10_d784_rtt50_bw100_r001
net_full_c10_d784_rtt50_bw100_r002,full,full_protocol,10,784,dgg32,2024,2,50,100,client_scalability,PASS,4850.55,10488320,23073760,33562080,0,results/formal/network_deployment/raw/net_full_c10_d784_rtt50_bw100_r002
net_full_c10_d784_rtt50_bw100_r003,full,full_protocol,10,784,dgg32,2024,3,50,100,client_scalability,PASS,4892.87,10488320,23073760,33562080,0,results/formal/network_deployment/raw/net_full_c10_d784_rtt50_bw100_r003
net_full_c10_d784_rtt50_bw100_r004,full,full_protocol,10,784,dgg32,2024,4,50,100,client_scalability,PASS,4878.38,10488320,23073760,33562080,0,results/formal/network_deployment/raw/net_full_c10_d784_rtt50_bw100_r004
net_full_c10_d784_rtt50_bw100_r005,full,full_protocol,10,784,dgg32,2024,5,50,100,client_scalability,PASS,4895.26,10488320,23073760,33562080,0,results/formal/network_deployment/raw/net_full_c10_d784_rtt50_bw100_r005
net_aggregate_only_c50_d784_rtt50_bw100_r001,aggregate_only,four_path_sum_only,50,784,dgg32,2024,1,50,100,client_scalability,PASS,8424.55,52441600,1048960,53490560,0,results/formal/network_deployment/raw/net_aggregate_only_c50_d784_rtt50_bw100_r001
net_aggregate_only_c50_d784_rtt50_bw100_r002,aggregate_only,four_path_sum_only,50,784,dgg32,2024,2,50,100,client_scalability,PASS,8407.45,52441600,1048960,53490560,0,results/formal/network_deployment/raw/net_aggregate_only_c50_d784_rtt50_bw100_r002
net_aggregate_only_c50_d784_rtt50_bw100_r003,aggregate_only,four_path_sum_only,50,784,dgg32,2024,3,50,100,client_scalability,PASS,8427.45,52441600,1048960,53490560,0,results/formal/network_deployment/raw/net_aggregate_only_c50_d784_rtt50_bw100_r003
net_aggregate_only_c50_d784_rtt50_bw100_r004,aggregate_only,four_path_sum_only,50,784,dgg32,2024,4,50,100,client_scalability,PASS,8536.55,52441600,1048960,53490560,0,results/formal/network_deployment/raw/net_aggregate_only_c50_d784_rtt50_bw100_r004
net_aggregate_only_c50_d784_rtt50_bw100_r005,aggregate_only,four_path_sum_only,50,784,dgg32,2024,5,50,100,client_scalability,PASS,8449.82,52441600,1048960,53490560,0,results/formal/network_deployment/raw/net_aggregate_only_c50_d784_rtt50_bw100_r005
net_full_c50_d784_rtt50_bw100_r001,full,full_protocol,50,784,dgg32,2024,1,50,100,client_scalability,PASS,20504,52441600,106977760,159419360,0,results/formal/network_deployment/raw/net_full_c50_d784_rtt50_bw100_r001
net_full_c50_d784_rtt50_bw100_r002,full,full_protocol,50,784,dgg32,2024,2,50,100,client_scalability,PASS,20424.8,52441600,106977760,159419360,0,results/formal/network_deployment/raw/net_full_c50_d784_rtt50_bw100_r002
net_full_c50_d784_rtt50_bw100_r003,full,full_protocol,50,784,dgg32,2024,3,50,100,client_scalability,PASS,20453.9,52441600,106977760,159419360,0,results/formal/network_deployment/raw/net_full_c50_d784_rtt50_bw100_r003
net_full_c50_d784_rtt50_bw100_r004,full,full_protocol,50,784,dgg32,2024,4,50,100,client_scalability,PASS,20572.8,52441600,106977760,159419360,0,results/formal/network_deployment/raw/net_full_c50_d784_rtt50_bw100_r004
net_full_c50_d784_rtt50_bw100_r005,full,full_protocol,50,784,dgg32,2024,5,50,100,client_scalability,PASS,20510.3,52441600,106977760,159419360,0,results/formal/network_deployment/raw/net_full_c50_d784_rtt50_bw100_r005
