scheme,clients,dimension,rtt_ms,bandwidth_mbps,runs,passed,end_to_end_ms_mean,end_to_end_ms_std,end_to_end_s_mean,total_application_protocol_bytes_mean
aggregate_only,10,784,50,100,5,5,2099.928,14.708388,2.099928,11537280
aggregate_only,30,784,1,100,5,5,2855.896,35.6614,2.855896,32513920
aggregate_only,30,784,100,100,5,5,8604.19,53.991058,8.60419,32513920
aggregate_only,30,784,20,100,5,5,3406.462,59.080316,3.406462,32513920
aggregate_only,30,784,50,100,5,5,5210.598,43.655241,5.210598,32513920
aggregate_only,30,784,50,1000,5,5,3791.33,32.903847,3.79133,32513920
aggregate_only,30,784,50,20,5,5,15500.1,184.424551,15.5001,32513920
aggregate_only,50,784,50,100,5,5,8449.164,51.122764,8.449164,53490560
full,10,784,50,100,5,5,4875.098,20.084498,4.875098,33562080
full,30,784,1,100,5,5,9315.638,27.729807,9.315638,96490720
full,30,784,100,100,5,5,16569.74,55.453431,16.56974,96490720
full,30,784,20,100,5,5,10226.86,52.755313,10.22686,96490720
full,30,784,50,100,5,5,12678.5,62.552698,12.6785,96490720
full,30,784,50,1000,5,5,6713.94,41.165849,6.71394,96490720
full,30,784,50,20,5,5,42690.02,212.711441,42.69002,96490720
full,50,784,50,100,5,5,20493.16,56.939117,20.49316,159419360
