"case_id","ablation","clients","dimension","seed","repetition","k","k0","apbr","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","path_processing_ms","cs_recovery_ms","total_bytes","total_fragments_per_path","result_file"
"full_c30_d784_s2024_r001","full","30","784","2024","1","2","2","true","PASS","0","0","0","0","918.432","611.477","62.516","65021632","62","results/formal_v8/ablations/full_c30_d784_s2024_r001.json"
"full_c30_d784_s2024_r002","full","30","784","2024","2","2","2","true","PASS","0","0","0","0","970.401","639.603","63.7456","65021632","62","results/formal_v8/ablations/full_c30_d784_s2024_r002.json"
"full_c30_d784_s2024_r003","full","30","784","2024","3","2","2","true","PASS","0","0","0","0","924.627","611.914","65.9469","65021632","62","results/formal_v8/ablations/full_c30_d784_s2024_r003.json"
"full_c30_d784_s2024_r004","full","30","784","2024","4","2","2","true","PASS","0","0","0","0","889.838","573.71","61.475","65021632","62","results/formal_v8/ablations/full_c30_d784_s2024_r004.json"
"full_c30_d784_s2024_r005","full","30","784","2024","5","2","2","true","PASS","0","0","0","0","881.891","580.275","66.1408","65021632","62","results/formal_v8/ablations/full_c30_d784_s2024_r005.json"
"full_c30_d784_s2025_r001","full","30","784","2025","1","2","2","true","PASS","0","0","0","0","895.356","580.317","65.9241","65021632","62","results/formal_v8/ablations/full_c30_d784_s2025_r001.json"
"full_c30_d784_s2025_r002","full","30","784","2025","2","2","2","true","PASS","0","0","0","0","960.619","599.548","81.2192","65021632","62","results/formal_v8/ablations/full_c30_d784_s2025_r002.json"
"full_c30_d784_s2025_r003","full","30","784","2025","3","2","2","true","PASS","0","0","0","0","900.833","574.73","59.9835","65021632","62","results/formal_v8/ablations/full_c30_d784_s2025_r003.json"
"full_c30_d784_s2025_r004","full","30","784","2025","4","2","2","true","PASS","0","0","0","0","929.371","606.157","60.8768","65021632","62","results/formal_v8/ablations/full_c30_d784_s2025_r004.json"
"full_c30_d784_s2025_r005","full","30","784","2025","5","2","2","true","PASS","0","0","0","0","906.464","592.051","63.3468","65021632","62","results/formal_v8/ablations/full_c30_d784_s2025_r005.json"
"full_c30_d784_s2026_r001","full","30","784","2026","1","2","2","true","PASS","0","0","0","0","916.217","592.896","64.699","65021632","62","results/formal_v8/ablations/full_c30_d784_s2026_r001.json"
"full_c30_d784_s2026_r002","full","30","784","2026","2","2","2","true","PASS","0","0","0","0","884.279","573.406","66.6162","65021632","62","results/formal_v8/ablations/full_c30_d784_s2026_r002.json"
"full_c30_d784_s2026_r003","full","30","784","2026","3","2","2","true","PASS","0","0","0","0","875.432","574.204","58.7846","65021632","62","results/formal_v8/ablations/full_c30_d784_s2026_r003.json"
"full_c30_d784_s2026_r004","full","30","784","2026","4","2","2","true","PASS","0","0","0","0","877.43","564.701","77.6219","65021632","62","results/formal_v8/ablations/full_c30_d784_s2026_r004.json"
"full_c30_d784_s2026_r005","full","30","784","2026","5","2","2","true","PASS","0","0","0","0","886.777","583.361","60.6808","65021632","62","results/formal_v8/ablations/full_c30_d784_s2026_r005.json"
"no_dummy_c30_d784_s2024_r001","no_dummy","30","784","2024","1","2","0","true","PASS","0","0","0","0","858.233","555.417","61.8716","62924160","60","results/formal_v8/ablations/no_dummy_c30_d784_s2024_r001.json"
"no_dummy_c30_d784_s2024_r002","no_dummy","30","784","2024","2","2","0","true","PASS","0","0","0","0","903.826","587.368","59.4312","62924160","60","results/formal_v8/ablations/no_dummy_c30_d784_s2024_r002.json"
