"case_id","variant","clients","dimension","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","client_upload_bytes","path_to_cs_bytes","total_bytes","legacy_total_wire_bytes","wrapper_elapsed_seconds","result_file"
"plain_aggregate_c10_d784_s2024_r001","plain_aggregate","10","784","2024","1","PASS","0","0","0","0","0.230704","0","0","0","0","3.559342","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2024_r001.json"
"plain_aggregate_c10_d784_s2024_r002","plain_aggregate","10","784","2024","2","PASS","0","0","0","0","0.199544","0","0","0","0","0.167683","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2024_r002.json"
"plain_aggregate_c10_d784_s2024_r003","plain_aggregate","10","784","2024","3","PASS","0","0","0","0","0.123651","0","0","0","0","0.142869","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2024_r003.json"
"plain_aggregate_c10_d784_s2024_r004","plain_aggregate","10","784","2024","4","PASS","0","0","0","0","0.132304","0","0","0","0","0.122084","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2024_r004.json"
"plain_aggregate_c10_d784_s2024_r005","plain_aggregate","10","784","2024","5","PASS","0","0","0","0","0.107315","0","0","0","0","0.122632","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2024_r005.json"
"plain_aggregate_c10_d784_s2025_r001","plain_aggregate","10","784","2025","1","PASS","0","0","0","0","0.114471","0","0","0","0","0.132856","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2025_r001.json"
"plain_aggregate_c10_d784_s2025_r002","plain_aggregate","10","784","2025","2","PASS","0","0","0","0","0.118643","0","0","0","0","0.120366","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2025_r002.json"
"plain_aggregate_c10_d784_s2025_r003","plain_aggregate","10","784","2025","3","PASS","0","0","0","0","0.118099","0","0","0","0","0.131916","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2025_r003.json"
"plain_aggregate_c10_d784_s2025_r004","plain_aggregate","10","784","2025","4","PASS","0","0","0","0","0.116941","0","0","0","0","0.136386","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2025_r004.json"
"plain_aggregate_c10_d784_s2025_r005","plain_aggregate","10","784","2025","5","PASS","0","0","0","0","0.137314","0","0","0","0","0.121881","results/formal_v8/controlled_baselines/plain_aggregate_c10_d784_s2025_r005.json"
