dataset,seed,round,clients,train_subset,test_subset,gradient_dimension,route_a_blocks,route_quantized_diff_linf,route_block_mismatches,theta_quantized_route_linf,plain_loss,plain_acc,quantized_loss,quantized_acc,route_loss,route_acc
cifar10,2025,1,10,10000,2000,30730,1,0,0,0.0,5.3885408940655255,0.113,5.389024423518414,0.113,5.389024423518414,0.113
cifar10,2025,2,10,10000,2000,30730,1,0,0,0.0,8.66970171553038,0.172,8.66899529039133,0.172,8.66899529039133,0.172
cifar10,2025,3,10,10000,2000,30730,1,0,0,0.0,19.726792265902542,0.132,19.72614274619551,0.132,19.72614274619551,0.132
cifar10,2025,4,10,10000,2000,30730,1,0,0,0.0,22.721300299669025,0.0955,22.716335649017473,0.0955,22.716335649017473,0.0955
cifar10,2025,5,10,10000,2000,30730,1,0,0,0.0,20.189498754437533,0.0975,20.1840110585957,0.0975,20.1840110585957,0.0975
cifar10,2025,6,10,10000,2000,30730,1,0,0,0.0,19.194622335553905,0.149,19.273167248805105,0.1475,19.273167248805105,0.1475
cifar10,2025,7,10,10000,2000,30730,1,0,0,0.0,22.752917582298636,0.107,22.85615634329908,0.107,22.85615634329908,0.107
cifar10,2025,8,10,10000,2000,30730,1,0,0,0.0,24.95639252367312,0.096,24.958396477101267,0.096,24.958396477101267,0.096
cifar10,2025,9,10,10000,2000,30730,1,0,0,0.0,22.54897977138395,0.146,22.553128570951372,0.145,22.553128570951372,0.145
cifar10,2025,10,10,10000,2000,30730,1,0,0,0.0,23.37802979318516,0.108,23.240689994354486,0.107,23.240689994354486,0.107
cifar10,2025,11,10,10000,2000,30730,1,0,0,0.0,22.10101194728931,0.1535,22.799561592928228,0.0975,22.799561592928228,0.0975
cifar10,2025,12,10,10000,2000,30730,1,0,0,0.0,23.41199452441763,0.098,24.275565267849576,0.107,24.275565267849576,0.107
cifar10,2025,13,10,10000,2000,30730,1,0,0,0.0,24.794371852647316,0.1025,23.56110883002402,0.0985,23.56110883002402,0.0985
cifar10,2025,14,10,10000,2000,30730,1,0,0,0.0,23.65182331625647,0.107,24.798841451547347,0.1025,24.798841451547347,0.1025
cifar10,2025,15,10,10000,2000,30730,1,0,0,0.0,23.193222290503275,0.106,22.98404265338925,0.112,22.98404265338925,0.112
cifar10,2025,16,10,10000,2000,30730,1,0,0,0.0,20.606451667022228,0.1115,19.43280571884646,0.1495,19.43280571884646,0.1495
cifar10,2025,17,10,10000,2000,30730,1,0,0,0.0,18.28077514809264,0.172,24.262449637439424,0.0955,24.262449637439424,0.0955
cifar10,2025,18,10,10000,2000,30730,1,0,0,0.0,24.73850041986631,0.0975,24.33983332475676,0.0975,24.33983332475676,0.0975
cifar10,2025,19,10,10000,2000,30730,1,0,0,0.0,22.408298207227126,0.112,22.8433607452569,0.126,22.8433607452569,0.126
cifar10,2025,20,10,10000,2000,30730,1,0,0,0.0,22.944246815127364,0.101,22.95329822398225,0.1115,22.95329822398225,0.1115
