dataset,seed,round,clients,train_subset,test_subset,gradient_dimension,route_a_blocks,route_quantized_diff_linf,route_block_mismatches,theta_quantized_route_linf,plain_loss,plain_acc,quantized_loss,quantized_acc,route_loss,route_acc
mnist,2025,1,10,10000,2000,7850,1,0,0,0.0,1.8272546342492566,0.672,1.8271943818079894,0.672,1.8271943818079894,0.672
mnist,2025,2,10,10000,2000,7850,1,0,0,0.0,1.491770653569573,0.8165,1.4917438593778212,0.817,1.4917438593778212,0.817
mnist,2025,3,10,10000,2000,7850,1,0,0,0.0,1.2766701130578064,0.8045,1.276684313966233,0.8045,1.276684313966233,0.8045
mnist,2025,4,10,10000,2000,7850,1,0,0,0.0,1.1217812663361173,0.8355,1.1218163962838807,0.8355,1.1218163962838807,0.8355
mnist,2025,5,10,10000,2000,7850,1,0,0,0.0,1.0152270845737354,0.8385,1.0152604551631654,0.8385,1.0152604551631654,0.8385
mnist,2025,6,10,10000,2000,7850,1,0,0,0.0,0.9315349569738096,0.8485,0.9315400912532896,0.849,0.9315400912532896,0.849
mnist,2025,7,10,10000,2000,7850,1,0,0,0.0,0.8691162381890015,0.8485,0.8691386435116754,0.8485,0.8691386435116754,0.8485
mnist,2025,8,10,10000,2000,7850,1,0,0,0.0,0.8160926847412189,0.862,0.8161786894399997,0.862,0.8161786894399997,0.862
mnist,2025,9,10,10000,2000,7850,1,0,0,0.0,0.774661635487824,0.8565,0.7747520868236486,0.8565,0.7747520868236486,0.8565
mnist,2025,10,10,10000,2000,7850,1,0,0,0.0,0.7374326153765471,0.871,0.7374814036589208,0.8705,0.7374814036589208,0.8705
mnist,2025,11,10,10000,2000,7850,1,0,0,0.0,0.7080729796139106,0.8665,0.7081184781359161,0.8665,0.7081184781359161,0.8665
mnist,2025,12,10,10000,2000,7850,1,0,0,0.0,0.6808045823009009,0.876,0.6808312537049312,0.876,0.6808312537049312,0.876
mnist,2025,13,10,10000,2000,7850,1,0,0,0.0,0.6589662293628649,0.8745,0.6590100304518691,0.8745,0.6590100304518691,0.8745
mnist,2025,14,10,10000,2000,7850,1,0,0,0.0,0.6384388549615355,0.881,0.6384774150676208,0.881,0.6384774150676208,0.881
mnist,2025,15,10,10000,2000,7850,1,0,0,0.0,0.6213999815432639,0.8795,0.6214392893666354,0.88,0.6214392893666354,0.88
mnist,2025,16,10,10000,2000,7850,1,0,0,0.0,0.6054108801430564,0.884,0.6054542425166899,0.8845,0.6054542425166899,0.8845
mnist,2025,17,10,10000,2000,7850,1,0,0,0.0,0.591595717361246,0.8845,0.5916382210917854,0.8845,0.5916382210917854,0.8845
mnist,2025,18,10,10000,2000,7850,1,0,0,0.0,0.5787081697986446,0.8885,0.5787476485002107,0.888,0.5787476485002107,0.888
mnist,2025,19,10,10000,2000,7850,1,0,0,0.0,0.5672150029333992,0.8885,0.567245544605752,0.8885,0.567245544605752,0.8885
mnist,2025,20,10,10000,2000,7850,1,0,0,0.0,0.556535126322,0.8895,0.5565707629080539,0.8895,0.5565707629080539,0.8895
