"case_id","clients","dimension","ring_dim","block_count","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","decoded_or_wire_mismatches","protocol_abort_count","total_ms","total_bytes","peak_rss_kb","wrapper_elapsed_seconds","result_file"
"c10_d8192_b1_dgg32_s2024_r001","10","8192","16384","1","dgg32","2024","1","PASS","0","0","0","0","317.238","23072192","63024","3.305185","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2024_r001.json"
"c10_d8192_b1_dgg32_s2024_r002","10","8192","16384","1","dgg32","2024","2","PASS","0","0","0","0","348.837","23072192","63028","0.483962","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2024_r002.json"
"c10_d8192_b1_dgg32_s2024_r003","10","8192","16384","1","dgg32","2024","3","PASS","0","0","0","0","360.586","23072192","63028","0.492513","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2024_r003.json"
"c10_d8192_b1_dgg32_s2024_r004","10","8192","16384","1","dgg32","2024","4","PASS","0","0","0","0","344.88","23072192","62896","0.481565","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2024_r004.json"
"c10_d8192_b1_dgg32_s2024_r005","10","8192","16384","1","dgg32","2024","5","PASS","0","0","0","0","338.638","23072192","63112","0.464258","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2024_r005.json"
"c10_d8192_b1_dgg32_s2025_r001","10","8192","16384","1","dgg32","2025","1","PASS","0","0","0","0","337.302","23072192","63028","0.465971","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2025_r001.json"
"c10_d8192_b1_dgg32_s2025_r002","10","8192","16384","1","dgg32","2025","2","PASS","0","0","0","0","328.408","23072192","63028","0.452072","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2025_r002.json"
"c10_d8192_b1_dgg32_s2025_r003","10","8192","16384","1","dgg32","2025","3","PASS","0","0","0","0","335.913","23072192","63028","0.468272","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2025_r003.json"
"c10_d8192_b1_dgg32_s2025_r004","10","8192","16384","1","dgg32","2025","4","PASS","0","0","0","0","359.545","23072192","63136","0.494939","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2025_r004.json"
"c10_d8192_b1_dgg32_s2025_r005","10","8192","16384","1","dgg32","2025","5","PASS","0","0","0","0","312.003","23072192","63028","0.444914","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2025_r005.json"
"c10_d8192_b1_dgg32_s2026_r001","10","8192","16384","1","dgg32","2026","1","PASS","0","0","0","0","362.792","23072192","63028","0.489723","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2026_r001.json"
"c10_d8192_b1_dgg32_s2026_r002","10","8192","16384","1","dgg32","2026","2","PASS","0","0","0","0","308.275","23072192","63024","0.432942","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2026_r002.json"
"c10_d8192_b1_dgg32_s2026_r003","10","8192","16384","1","dgg32","2026","3","PASS","0","0","0","0","335.259","23072192","63028","0.491137","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2026_r003.json"
"c10_d8192_b1_dgg32_s2026_r004","10","8192","16384","1","dgg32","2026","4","PASS","0","0","0","0","307.735","23072192","63028","0.430686","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2026_r004.json"
"c10_d8192_b1_dgg32_s2026_r005","10","8192","16384","1","dgg32","2026","5","PASS","0","0","0","0","308.555","23072192","63068","0.437686","results/formal_v8/multiblock_scaling_paper/c10_d8192_b1_dgg32_s2026_r005.json"
"c30_d8192_b1_dgg32_s2024_r001","30","8192","16384","1","dgg32","2024","1","PASS","0","0","0","0","949.094","65021632","168252","1.083004","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2024_r001.json"
"c30_d8192_b1_dgg32_s2024_r002","30","8192","16384","1","dgg32","2024","2","PASS","0","0","0","0","923.902","65021632","168240","1.051149","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2024_r002.json"
"c30_d8192_b1_dgg32_s2024_r003","30","8192","16384","1","dgg32","2024","3","PASS","0","0","0","0","930.542","65021632","168180","1.052016","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2024_r003.json"
"c30_d8192_b1_dgg32_s2024_r004","30","8192","16384","1","dgg32","2024","4","PASS","0","0","0","0","909.54","65021632","168240","1.050621","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2024_r004.json"
"c30_d8192_b1_dgg32_s2024_r005","30","8192","16384","1","dgg32","2024","5","PASS","0","0","0","0","916.733","65021632","168176","1.064746","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2024_r005.json"
"c30_d8192_b1_dgg32_s2025_r001","30","8192","16384","1","dgg32","2025","1","PASS","0","0","0","0","918.775","65021632","168240","1.04844","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2025_r001.json"
"c30_d8192_b1_dgg32_s2025_r002","30","8192","16384","1","dgg32","2025","2","PASS","0","0","0","0","881.775","65021632","168108","1.002444","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2025_r002.json"
"c30_d8192_b1_dgg32_s2025_r003","30","8192","16384","1","dgg32","2025","3","PASS","0","0","0","0","910.624","65021632","168216","1.026077","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2025_r003.json"
"c30_d8192_b1_dgg32_s2025_r004","30","8192","16384","1","dgg32","2025","4","PASS","0","0","0","0","909.682","65021632","168236","1.03668","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2025_r004.json"
"c30_d8192_b1_dgg32_s2025_r005","30","8192","16384","1","dgg32","2025","5","PASS","0","0","0","0","918.102","65021632","168172","1.043066","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2025_r005.json"
"c30_d8192_b1_dgg32_s2026_r001","30","8192","16384","1","dgg32","2026","1","PASS","0","0","0","0","906.649","65021632","168240","1.03854","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r001.json"
"c30_d8192_b1_dgg32_s2026_r002","30","8192","16384","1","dgg32","2026","2","PASS","0","0","0","0","851.029","65021632","168244","0.984895","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r002.json"
"c30_d8192_b1_dgg32_s2026_r003","30","8192","16384","1","dgg32","2026","3","PASS","0","0","0","0","935.262","65021632","168240","1.056444","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r003.json"
"c30_d8192_b1_dgg32_s2026_r004","30","8192","16384","1","dgg32","2026","4","PASS","0","0","0","0","875.706","65021632","168240","0.999742","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r004.json"
"c30_d8192_b1_dgg32_s2026_r005","30","8192","16384","1","dgg32","2026","5","PASS","0","0","0","0","981.126","65021632","168236","1.110663","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r005.json"
