dimension,clients,samples,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
784,5,15,258.19,24.04,223.69,304.38
784,10,15,459.66,21.03,428.38,493.3
784,20,15,871.37,27.97,824.5,920.96
784,30,15,1264.0,66.84,1176.09,1406.87
784,50,15,2122.71,154.11,1933.18,2427.75
3072,5,15,250.83,13.78,219.38,270.72
3072,10,15,456.98,33.71,389.48,521.22
3072,20,15,934.94,224.24,609.57,1440.46
3072,30,15,1254.02,86.42,1151.01,1441.42
3072,50,15,2230.31,174.02,1992.84,2600.61
10000,5,15,242.89,15.79,217.82,277.74
10000,10,15,435.22,23.62,392.83,470.61
10000,20,15,833.34,58.72,741.76,971.15
10000,30,15,1138.42,145.96,938.86,1460.42
10000,50,15,1641.71,70.63,1526.59,1790.38
