"case_id","clients","dimension","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","total_bytes","wrapper_elapsed_seconds","result_file"
"c5_d784_dgg32_s2024_r001","5","784","dgg32","2024","1","PASS","0","0","0","0","249.476","12584832","3.907671","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2024_r001.json"
"c5_d784_dgg32_s2024_r002","5","784","dgg32","2024","2","PASS","0","0","0","0","251.308","12584832","0.398672","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2024_r002.json"
"c5_d784_dgg32_s2024_r003","5","784","dgg32","2024","3","PASS","0","0","0","0","282.822","12584832","0.441464","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2024_r003.json"
"c5_d784_dgg32_s2024_r004","5","784","dgg32","2024","4","PASS","0","0","0","0","230.508","12584832","0.378808","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2024_r004.json"
"c5_d784_dgg32_s2024_r005","5","784","dgg32","2024","5","PASS","0","0","0","0","238.169","12584832","0.380991","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2024_r005.json"
"c5_d784_dgg32_s2025_r001","5","784","dgg32","2025","1","PASS","0","0","0","0","294.298","12584832","0.445906","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2025_r001.json"
"c5_d784_dgg32_s2025_r002","5","784","dgg32","2025","2","PASS","0","0","0","0","223.694","12584832","0.37379","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2025_r002.json"
"c5_d784_dgg32_s2025_r003","5","784","dgg32","2025","3","PASS","0","0","0","0","256.508","12584832","0.409566","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2025_r003.json"
"c5_d784_dgg32_s2025_r004","5","784","dgg32","2025","4","PASS","0","0","0","0","265.101","12584832","0.422844","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2025_r004.json"
"c5_d784_dgg32_s2025_r005","5","784","dgg32","2025","5","PASS","0","0","0","0","254.268","12584832","0.409013","results/formal_v8/scalability/retry1/c5_d784_dgg32_s2025_r005.json"
